n,W,time,mem,temp,binary,var
5,300,1.013540506,1271.96875,1500,9,2560
3,200,0.345514536,12515.91797,600,9,1536
6,350,1.620741367,12643.73242,2100,9,3072
9,500,4.031861544,12644.85742,4500,9,4608
10,550,5.008158445,1399.936523,5500,10,10240
12,650,7.246216536,12645.42188,7800,10,12288
15,800,11.67380381,1399.358398,12000,10,15360
18,950,17.06547523,12646.00781,17100,10,18432
20,1050,21.47221804,1399.310547,21000,11,40960
21,1100,23.67843556,12645.88867,23100,11,43008
24,1250,30.94210815,12646.51855,30000,11,49152
25,1300,33.91479588,1399.724609,32500,11,51200
27,1400,39.47569442,12647.04688,37800,11,55296
30,1550,49.77787232,1400.21582,46500,11,61440
33,1700,59.26973677,12647.61914,56100,11,67584
35,1800,68.02534866,1399.973633,63000,11,71680
36,1850,70.64240575,12648.14258,66600,11,73728
39,2000,83.93605542,12648.32227,78000,11,79872
40,2050,90.2589345,1400.696289,82000,12,163840
42,2150,96.68427682,12647.92773,90300,12,172032
45,2300,114.8106639,1401.083984,103500,12,184320
48,2450,128.5107832,12501.22266,117600,12,196608
50,2550,142.5312691,1402.376953,127500,12,204800
51,2600,144.4010725,12501.41797,132600,12,208896
54,2750,162.6070151,12501.76172,148500,12,221184
55,2800,171.8977757,1401.969727,154000,12,225280
57,2900,182.2483437,12501.37598,165300,12,233472
60,3050,205.5118775,1403.288086,183000,12,245760
63,3200,223.5078175,12502.28809,201600,12,258048
65,3300,243.4728806,1403.757813,214500,12,266240
66,3350,246.9288199,12503.43848,221100,12,270336
69,3500,269.8289497,12502.85352,241500,12,282624
70,3550,282.544991,1403.458984,248500,12,286720
72,3650,293.5247433,12503.6748,262800,12,294912
75,3800,324.5912654,1404.024414,285000,12,307200
78,3950,346.3263044,12504.20508,308100,12,319488
80,4050,373.4511855,1404.125,324000,12,327680
81,4100,373.4428191,12503.74121,332100,13,663552
84,4250,400.7073221,12504.51953,357000,13,688128
85,4300,421.9003432,1404.912109,365500,13,696320
87,4400,429.8132429,12504.53809,382800,13,712704
90,4550,471.1991258,1405.337891,409500,13,737280
95,4800,528.3071938,1405.438477,456000,13,778240
100,5050,584.5349174,1405.704102,505000,13,819200
105,5300,641.7508163,1405.521484,556500,13,860160
