n,C,var,time,mem,temp,log(nC)*58.56139538-762.35905343,,sqrt(nC)*0.83346835-108.41879342 ,,nC * 1.15253704e-03-4.40602555e+00,,nClognC*6.09185091e-05+5.26811830e+00,,nC**2 * 2.29557299e-09 + 7.14839645e+01,,nC**3 * 5.05673296e-15 + 6.72926551e-32,,2**n * 0. + 187.20966073,,,,binary
5,300,2560,1.013540506,1271.96875,1500,-144.4925994,21172.03674,-76.13870303,5952.468682,-2.67721999,13.62171304,6.232221946,27.23463597,5165110.711,26700000000000,1.86E-05,1.03,187.2096607,34668.99518,,,9
3,200,1536,0.345514536,12515.91797,600,-221.9065532,49395.98162,-88.00307168,7805.472686,-3.714503326,16.48374504,5.605441825,27.66683509,826477.7604,683000000000,0.000916548,0.119,187.2096607,34918.20912,,,9
6,350,3072,1.620741367,12643.73242,2100,-116.065327,13850.01069,-70.22447539,5161.735171,-1.985697766,13.00640322,6.67996351,25.59572868,10123548.37,102000000000000,0.009519426,2.6,187.2096607,34443.24698,,,9
9,500,4608,4.031861544,12644.85742,4500,-51.67498371,3103.252608,-52.50803679,3196.760103,0.78039113,10.57205985,8.594920225,20.82150453,46485424.53,2.16E+015,0.051018172,15.8,187.2096607,33554.1061,,,9
10,550,10240,5.008158445,1399.936523,5500,-34.72107224,1578.41177,-46.60712626,2664.137615,1.93292817,9.457041246,9.431209254,19.56337846,69441154.43,4820000000000000,0.18911113,23.2,187.2096607,33197.38742,,,10
12,650,12288,7.246216536,12645.42188,7800,-5.203639792,154.9989226,-34.80886185,1768.629618,4.583763362,7.088656901,11.41164124,17.35076296,139662732.2,1.95E+016,0.553892985,44.8,187.2096607,32386.84124,,,10
15,800,15360,11.67380381,1399.358398,12000,31.19158676,380.9438515,-17.11691017,828.9052111,9.42441893,5.059732322,15.1740138,12.25146997,330562582,1.09E+017,1.377490635,106,187.2096607,30812.83705,,,10
18,950,18432,17.06547523,12646.00781,17100,61.11422974,1940.292774,0.571335889,272.0566325,15.30235783,3.108582936,19.91629174,8.127154786,671248569.5,4.51E+017,3.037445985,197,187.2096607,28949.04385,,,10
20,1050,40960,21.47221804,1399.310547,21000,78.47141757,3248.908747,12.36224524,82.99160438,19.79725229,2.805510252,23.63627544,4.683144445,1012347760,1.02E+018,6.107845682,236,187.2096607,27468.8999,,,11
21,1100,43008,23.67843556,12645.88867,23100,86.52381579,3949.541815,18.25742862,29.38731633,22.21758007,2.134098763,25.66658853,3.952752205,1224940775,1.5E+018,11.41819776,150,187.2096607,26742.4616,,,11
24,1250,49152,30.94210815,12646.51855,30000,108.6055406,6031.608738,35.94215945,25.00051296,30.17008565,0.596018747,32.4487537,2.269980804,2066015762,4.27E+018,20.12005525,117,187.2096607,24419.54798,,,11
25,1300,51200,33.91479588,1399.724609,32500,115.3680476,6634.632213,41.8368502,62.75894472,33.05142825,0.745403657,34.9424344,1.056040934,2424699042,5.88E+018,33.76138665,0.0235,187.2096607,23499.31558,,,11
27,1400,55296,39.47569442,12647.04688,37800,128.1312997,7859.816346,53.62597428,200.2304202,39.15987456,0.099742181,40.28350029,0.652550322,3280006583,1.08E+019,54.36869339,222,187.2096607,21825.32479,,,11
30,1550,61440,49.77787232,1400.21582,46500,145.6320495,9188.023291,71.30914349,463.595638,49.18694681,0.349192963,49.18913609,0.346610349,4963602769,2.46E+019,84.53687423,1210,187.2096607,18887.49646,,,11
33,1700,67584,59.26973677,12647.61914,56100,161.4887218,10448.7209,88.99184058,883.4034548,60.25130239,0.96347108,59.1820654,0.007686269,7224650341,5.22E+019,127.5268365,4660,187.2096607,16368.62414,,,11
35,1800,71680,68.02534866,1399.973633,63000,171.2890332,10663.38855,100.7801021,1072.873875,68.20380797,0.031847724,66.45546353,2.464539335,9111129269,8.3E+019,187.3708544,14200,187.2096607,14204.90024,,,11
36,1850,73728,70.64240575,12648.14258,66600,175.9839207,11096.83478,106.674182,1298.288898,72.35294131,2.925931921,70.27714821,0.133413072,10182151803,1.04E+020,268.985674,39300,187.2096607,13587.92493,,,11
39,2000,79872,83.93605542,12648.32227,78000,189.3331048,11108.53802,124.3562487,1633.792028,85.49186357,2.420538994,82.48796643,2.096961739,13966266143,1.95E+020,378.2933655,86600,187.2096607,10665.43755,,,11
40,2050,163840,90.2589345,1400.696289,82000,193.5582969,10670.75828,130.2502205,1599.302958,90.10201173,0.024624755,86.80836974,11.90639713,15435432856,2.38E+020,522.3499223,187000,187.2096607,9399.443311,,,12
42,2150,172032,96.68427682,12647.92773,90300,201.7043087,11029.2071,142.0380991,2056.969191,99.66806916,8.903016745,95.82702659,0.734877949,18718308834,3.5E+020,709.4816066,376000,187.2096607,8194.845127,,,12
45,2300,184320,114.8106639,1401.083984,103500,213.2311165,9686.585487,159.7197757,2016.828321,114.8815581,0.005025981,110.3059179,20.29273723,24590751834,6.05E+020,949.4290426,697000,187.2096607,5241.614738,,,12
48,2450,196608,128.5107832,12501.22266,117600,224.0214807,9122.293334,177.401311,2390.283707,131.1323304,6.872509504,125.9354375,6.632405419,31747223586,1.01E+021,1.86E-05,16500,187.2096607,3445.55822,,,12
50,2550,204800,142.5312691,1402.376953,127500,230.8502774,7800.247228,189.188935,2176.937792,142.5424471,0.000124947,136.9993721,30.60188439,37317408490,1.39E+021,0.000916548,20300,187.2096607,1996.158676,,,12
51,2600,208896,144.4010725,12501.41797,132600,234.1638878,8057.363002,195.0827295,2568.630359,148.420386,16.15488062,142.7256923,2.80689872,40362509017,1.63E+021,0.009519426,20800,187.2096607,1832.575224,,,12
54,2750,221184,162.6070151,12501.76172,148500,243.7317748,6581.226626,212.7640507,2515.728213,166.7457249,17.12891845,160.6861817,3.689601007,50622549540,2.56E+021,0.051018172,26400,187.2096607,605.2901705,,,12
55,2800,225280,171.8977757,1401.969727,154000,246.8043401,5610.993396,218.6578055,2186.500387,173.0846786,1.408738636,166.9346268,24.63284664,54441809102,2.96E+021,0.18911113,29500,187.2096607,234.4538223,,,12
57,2900,233472,182.2483437,12501.37598,165300,252.7867599,4975.668156,230.4452896,2322.945595,186.1083472,14.89962668,179.8258666,5.868395506,62724443052,3.93E+021,0.553892985,33000,187.2096607,24.61466637,,,12
60,3050,245760,205.5118775,1403.288086,183000,261.3810501,3121.364445,248.1264586,1816.002521,206.5082528,0.992763605,200.1532271,28.7151347,76876443934,5.91E+021,1.377490635,41700,187.2096607,334.9711398,,,12
63,3200,258048,223.5078175,12502.28809,201600,269.5592655,2120.735866,265.8075676,1789.268857,227.9454417,19.6925086,221.6763118,3.354413232,93297963052,8.7E+021,3.037445985,48600,187.2096607,1317.556187,,,12
65,3300,266240,243.4728806,1403.757813,214500,274.7994568,981.3543792,277.5949443,1164.31523,242.8131695,0.435218698,236.6931231,45.9651119,106000000000,1.12E+022,1.19E-06,59300,187.2096607,3165.549914,,,12
66,3350,270336,246.9288199,12503.43848,221100,277.3598417,926.0470891,283.4886247,1336.619324,250.419914,12.18773801,244.4027793,6.380881071,112000000000,1.26E+022,5.1E-05,61000,187.2096607,3566.377976,,,12
69,3500,282624,269.8289497,12502.85352,241500,284.8161224,224.6153465,301.1696365,982.2386512,273.9316696,16.83231074,268.3399345,2.21716629,134000000000,1.79E+022,0.000502001,72800,187.2096607,6825.946915,,,12
70,3550,286720,282.544991,1403.458984,248500,287.2301791,21.95098711,307.0632981,601.1473824,281.9994289,0.297638034,276.5892435,35.47092884,142000000000,2.01E+022,0.002614272,79800,187.2096607,9088.825203,,,12
72,3650,294912,293.5247433,12503.6748,262800,291.9572212,2.457125695,318.8506088,641.3994634,298.4807086,24.56159149,293.4947596,0.000899024,159000000000,2.51E+022,0.027545797,86100,187.2096607,11302.89679,,,12
75,3800,307200,324.5912654,1404.024414,285000,298.8087079,664.7402747,336.5315463,142.570306,324.0670309,0.274821905,319.8739416,22.25314404,186000000000,3.48E+022,0.067905186,105000,187.2096607,18873.70531,,,12
78,3950,319488,346.3263044,12504.20508,308100,305.3931616,1675.522181,354.2124528,62.19133652,350.6906365,19.04739414,347.4838963,1.340018899,218000000000,4.75E+022,0.148741025,120000,187.2096607,25318.1063,,,12
80,4050,327680,373.4511855,1404.125,324000,309.6444338,4071.301563,365.9997084,55.52450986,369.0159754,19.67108823,366.5773498,47.2496174,241000000000,5.81E+022,0.297537977,139000,187.2096607,34685.90556,,,12
81,4100,663552,373.4428191,12503.74121,332100,311.7306196,3808.395566,371.893332,2.40091048,378.3515254,24.09539769,376.3307892,8.340371018,253000000000,6.41E+022,0.972647758,139000,187.2096607,34682.78929,,,13
84,4250,688128,400.7073221,12504.51953,357000,317.8389451,6867.167908,389.5741865,123.9467078,407.0496977,40.22572837,406.4205545,32.64102396,293000000000,8.56E+022,1.627382697,159000,187.2096607,45581.25142,,,13
85,4300,696320,421.9003432,1404.912109,365500,319.8269482,10418.97795,395.4677997,698.679353,416.8462626,25.54373081,416.7276646,26.75660391,307000000000,9.4E+022,2.614272259,176000,187.2096607,55079.71645,,,13
87,4400,712704,429.8132429,12504.53809,382800,323.7341308,11252.77803,407.2550191,508.8734604,436.7851534,48.60753532,437.7589118,63.13365426,336000000000,1.13E+023,4.056301773,181000,187.2096607,58856.4981,,,13
90,4550,737280,471.1991258,1405.337891,409500,329.4305513,20098.32872,424.9358319,2140.29236,467.5578923,13.25858094,470.3513811,0.718670952,385000000000,1.48E+023,8.959607233,214000,187.2096607,80650.01629,,,13
95,4800,778240,528.3071938,1405.438477,456000,338.5175448,36020.11085,454.4038142,5461.70951,521.1508647,51.2130457,527.4734867,0.695067503,477000000000,2.28E+023,12.84391961,266000,187.2096607,116347.5271,,,13
100,5050,819200,584.5349174,1405.704102,505000,347.1406847,56356.02169,483.8717541,10133.07244,577.6251797,47.74447515,588.1176231,12.83578034,585000000000,3.43E+023,18.0404085,321000,187.2096607,157867.3596,,,13
105,5300,860160,641.7508163,1405.521484,556500,355.3450366,82028.27065,513.3396576,16489.42569,636.9808372,22.75270095,652.3062245,111.4166416,711000000000,5.05E+023,24.88201612,381000,187.2096607,206607.6621,,,13
,,,,,,,,,,,,,,,,,,,,,,
,,,,MSE,,,10800.00946,,2164.139843,,12.09558723,,16.28725162,,4.08392E+022,,93382.44847,,30260.61813,,,
